fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2023-09-18 13:48:00,2023-09-18 16:24:00,LARGO,1.19,2.346,0.507,GANADOR
2023-09-18 17:20:00,2023-09-18 17:25:00,LARGO,0.311,0.62,0.501,GANADOR
2023-09-19 09:41:00,2023-09-19 09:45:00,LARGO,-0.504,-1.01,0.498,PERDEDOR
2023-09-19 15:32:00,2023-09-19 15:40:00,LARGO,-0.376,-0.754,0.498,PERDEDOR
2023-10-24 02:18:00,2023-10-24 02:27:00,LARGO,2.062,4.066,0.507,GANADOR
2023-10-24 03:01:00,2023-10-24 03:10:00,LARGO,0.614,1.215,0.505,GANADOR
2023-10-24 09:39:00,2023-10-24 09:58:00,LARGO,0.058,0.117,0.501,GANADOR
2023-11-01 12:56:00,2023-11-01 13:22:00,LARGO,0.287,0.576,0.499,GANADOR
2023-11-01 20:36:00,2023-11-01 21:01:00,LARGO,1.555,3.099,0.502,GANADOR
2023-11-01 21:16:00,2023-11-01 21:24:00,LARGO,1.172,2.313,0.507,GANADOR
2023-11-02 02:47:00,2023-11-02 02:55:00,LARGO,0.345,0.688,0.501,GANADOR
2023-11-02 03:06:00,2023-11-02 03:29:00,LARGO,0.041,0.082,0.502,GANADOR
2023-11-02 03:32:00,2023-11-02 04:53:00,LARGO,-0.457,-0.914,0.5,PERDEDOR
2023-11-08 23:46:00,2023-11-08 23:48:00,LARGO,-0.474,-0.954,0.497,PERDEDOR
2023-11-09 02:24:00,2023-11-09 02:28:00,LARGO,0.52,1.034,0.503,GANADOR
2023-11-09 02:33:00,2023-11-09 02:46:00,LARGO,0.409,0.813,0.503,GANADOR
2023-11-09 03:55:00,2023-11-09 05:01:00,LARGO,1.371,2.718,0.504,GANADOR
2023-11-14 18:52:00,2023-11-14 18:55:00,CORTO,1.023,2.065,0.496,GANADOR
2023-11-14 19:11:00,2023-11-14 19:43:00,CORTO,0.201,0.405,0.497,GANADOR
2023-11-14 19:50:00,2023-11-14 20:04:00,CORTO,0.407,0.821,0.496,GANADOR
2023-11-15 19:08:00,2023-11-15 19:13:00,LARGO,-0.348,-0.698,0.498,PERDEDOR
2023-11-15 20:06:00,2023-11-15 20:14:00,LARGO,0.174,0.347,0.501,GANADOR
2023-11-15 20:57:00,2023-11-15 22:08:00,LARGO,-0.105,-0.21,0.5,PERDEDOR
2023-11-22 00:01:00,2023-11-22 00:06:00,CORTO,-0.603,-1.199,0.503,PERDEDOR
2023-11-22 21:26:00,2023-11-22 21:39:00,LARGO,-0.347,-0.692,0.501,PERDEDOR
2023-11-24 10:33:00,2023-11-24 10:37:00,LARGO,-0.267,-0.537,0.498,PERDEDOR
2023-11-24 11:34:00,2023-11-24 11:36:00,LARGO,-0.137,-0.272,0.501,PERDEDOR
2023-11-24 11:52:00,2023-11-24 12:48:00,LARGO,-0.279,-0.56,0.499,PERDEDOR
2023-11-29 09:52:00,2023-11-29 09:53:00,LARGO,-0.598,-1.201,0.498,PERDEDOR
2023-12-01 09:11:00,2023-12-01 10:16:00,LARGO,0.394,0.787,0.5,GANADOR
