date,entry_time,exit_time,direction,entry,exit,so,stop_level,band_upper,band_lower,atr14,n,pnl,equity,reason,period
2023-08-25,11:05,12:40,SHORT,14818.0,14874.5,14897.0,14897.0,15018.37,14775.63,242.73,7,-795.34,84265.46,STOP,OOS
2023-08-29,10:35,15:25,LONG,15299.0,15426.25,15076.75,15076.75,15198.79,14954.71,244.09,7,1777.16,86042.62,EOD,OOS
2023-09-01,11:15,15:25,SHORT,15517.5,15513.25,15633.5,15633.5,15753.5,15513.5,240.0,13,102.44,86145.06,EOD,OOS
2023-09-06,11:10,15:25,SHORT,15357.5,15360.5,15500.0,15500.0,15616.73,15383.27,233.46,12,-79.44,86065.62,EOD,OOS
2023-09-18,12:50,15:25,LONG,15442.0,15405.25,15355.75,15355.75,15454.14,15257.36,196.79,12,-889.44,85176.18,EOD,OOS
2023-09-20,14:10,15:25,SHORT,15309.0,15252.5,15419.25,15419.25,15512.39,15326.11,186.29,15,1685.7,86861.88,EOD,OOS
2023-09-25,12:25,15:25,LONG,14928.75,14890.75,14825.25,14825.25,14922.62,14727.88,194.73,13,-996.06,85865.82,EOD,OOS
2023-09-26,12:05,15:25,SHORT,14749.25,14674.75,14825.0,14825.0,14920.87,14729.13,191.73,10,1483.8,87349.62,EOD,OOS
2023-09-27,12:20,14:45,SHORT,14646.75,14731.5,14753.25,14753.25,14853.64,14652.86,200.79,10,-1701.2,85648.42,STOP,OOS
2023-09-28,12:00,15:25,LONG,14905.25,14909.5,14695.25,14695.25,14796.01,14594.49,201.52,10,78.8,85727.22,EOD,OOS
2023-09-29,13:20,15:25,SHORT,14844.0,14877.5,15002.0,15002.0,15104.58,14899.42,205.16,12,-811.44,84915.78,EOD,OOS
2023-10-02,10:05,13:10,LONG,14961.25,14873.75,14874.0,14874.0,14980.68,14767.32,213.36,12,-2107.44,82808.34,STOP,OOS
2023-10-03,11:05,15:25,SHORT,14734.5,14664.75,14879.5,14879.5,14986.04,14772.96,213.09,11,1527.68,84336.02,EOD,OOS
2023-10-04,12:00,15:25,LONG,14870.0,14917.25,14753.25,14753.25,14865.2,14641.3,223.89,10,938.8,85274.82,EOD,OOS
2023-10-05,10:10,15:25,SHORT,14785.5,14883.0,14909.25,14909.25,15023.8,14794.7,229.11,9,-1760.58,83514.24,EOD,OOS
2023-10-06,10:50,15:25,LONG,14871.0,15150.5,14736.25,14736.25,14851.86,14620.64,231.21,9,5025.42,88539.66,EOD,OOS
2023-10-09,14:00,15:25,LONG,15188.25,15192.25,15012.25,15012.25,15139.46,14885.04,254.43,8,59.04,88598.7,EOD,OOS
2023-10-10,11:20,15:25,LONG,15357.5,15287.5,15200.25,15200.25,15330.99,15069.51,261.48,8,-1124.96,87473.74,EOD,OOS
2023-10-12,14:20,15:25,SHORT,15257.75,15302.0,15393.0,15393.0,15515.11,15270.89,244.21,15,-1336.8,86136.94,EOD,OOS
2023-10-13,11:25,15:25,SHORT,15159.0,15109.0,15342.25,15342.25,15467.17,15217.33,249.84,15,1490.7,87627.64,EOD,OOS
2023-10-16,10:35,15:25,LONG,15304.0,15331.75,15175.75,15175.75,15305.97,15045.53,260.45,13,713.44,88341.08,EOD,OOS
2023-10-17,11:50,15:25,LONG,15264.75,15217.25,15138.75,15138.75,15267.04,15010.46,256.59,11,-1051.82,87289.26,EOD,OOS
2023-10-19,15:00,15:25,SHORT,14921.25,14896.0,15087.75,15087.75,15215.88,14959.62,256.25,11,548.68,87837.94,EOD,OOS
2023-10-20,11:00,15:25,SHORT,14702.25,14697.0,14862.0,14862.0,14991.42,14732.58,258.84,11,108.68,87946.62,EOD,OOS
2023-10-23,11:40,15:25,LONG,14740.0,14737.0,14602.0,14602.0,14732.68,14471.32,261.36,10,-66.2,87880.42,EOD,OOS
2023-10-25,12:10,15:25,SHORT,14577.0,14487.75,14741.5,14741.5,14870.02,14612.98,257.04,10,1778.8,89659.22,EOD,OOS
2023-10-26,10:25,15:25,SHORT,14317.25,14264.75,14420.75,14420.75,14555.85,14285.65,270.2,8,835.04,90494.26,EOD,OOS
2023-11-01,14:35,15:25,LONG,14618.5,14730.5,14519.75,14519.75,14651.11,14388.39,262.71,7,1563.66,92057.92,EOD,OOS
2023-11-03,12:35,15:25,LONG,15189.75,15196.25,15051.0,15051.0,15181.66,14920.34,261.32,12,148.56,92206.48,EOD,OOS
2023-11-07,13:50,15:25,LONG,15399.25,15396.5,15275.75,15275.75,15401.88,15149.62,252.25,12,-73.44,92133.04,EOD,OOS
2023-11-09,14:20,15:25,SHORT,15314.5,15256.0,15404.0,15404.0,15521.97,15286.03,235.95,13,1512.94,93645.98,EOD,OOS
2023-11-10,12:10,15:25,LONG,15476.75,15589.75,15328.0,15328.0,15445.34,15210.66,234.68,14,3155.32,96801.3,EOD,OOS
2023-11-20,11:05,15:25,LONG,16013.25,16105.5,15895.0,15895.0,15996.25,15793.75,202.5,12,2206.56,99007.86,EOD,OOS
